Продукт;Оплачено;Цена;Пользователь;Продавец;
VSISV;818594538;01.12.2021;QPWUX;DHIIK;
SGFDS;33138135;01.31.2021;XSLDX;MDVOW;
BRULB;2040730458;02.08.2021;OTNHI;EXNIQ;
XKXNB;377411164;02.02.2021;QZP[K;ZLXHG;
RNUHD;1691542184;01.29.2021;TFVKW;UBTAP;
KQEME;1557300914;01.15.2021;JSYX[;TLIEG;
PCCGU;388505942;02.04.2021;FUVWW;CQYAB;
IFCGZ;1822545495;01.18.2021;PAJFR;[K[VL;
AJNBC;1286321951;02.22.2021;WSKZQ;VMMNS;
LYDNU;1449960019;01.16.2021;CBBMT;AWCSA;
[WZOP;782437520;02.18.2021;[ZVTS;TVPKV;
Q[HRO;61677905;01.30.2021;NJCAU;UNCQA;
WXIDJ;235233325;02.18.2021;FJOBP;WBQSE;
NNT[R;1456996799;01.29.2021;DFXJR;WPEHX;
CP[CH;2055655304;02.14.2021;UXRVX;XPYXK;
WHUIS;1973677107;01.26.2021;PNQJQ;EYHRI;
QTYJA;1543864447;02.24.2021;KR[PU;HAZYA;
PHSAP;761917528;01.16.2021;HWKGX;GJUNQ;
AFWTZ;1931714838;02.20.2021;GH[[B;UKGCK;
XTCBE;1509855880;01.31.2021;LSMRV;UVVTM;
